Keywords Searched,position,channelId,Scrape ID#,channelTitle,video Id,publishedAt,published at,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,Scraped?
,21,UCBi2mrWuNuyYy4gbM6fU18Q,12,ABC News,rmP3bHQNxz0,2018-06-20T20:03:03.000Z,2018-06-20 20:03:03,Trump signs executive order ending family separation policy at US-Mexico border,"It's about keeping families together, Trump said.",25,News & Politics,PT14M45S,885,2d,hd,FALSE,1,468965,5165,1155,0,7377,TRUE
,16,UCupvZG-5ko_eiXAupbDfxWw,13,CNN,a0wqzBz7NOA,2019-01-08T02:02:33.000Z,2019-01-08 2:02:33,Internet trolls Trump's steel border wall idea,The internet pokes fun at President Donald Trump's proposal on Twitter for a border wall made of steel slats to protect the US-Mexico border. CNN's Jeanne Moos reports. #CNN #News,25,News & Politics,PT2M13S,133,2d,hd,FALSE,1,640996,6510,5070,0,6852,TRUE
,29,UCupvZG-5ko_eiXAupbDfxWw,14,CNN,AGXGhqrzCks,2018-11-25T20:31:11.000Z,2018-11-25 20:31:11,US closes San Ysidro crossing as migrants rush border,"US Customs and Border Protection has closed road and pedestrian bridges in both directions at the San Ysidro port of entry, one of the largest land border crossings between San Diego and Tijuana, Mexico. The closures come as around 500 migrants overwhelmed federal and local Mexican police blockades and rushed toward the US border near Tijuana, Mexico. #CNN #News",25,News & Politics,PT9M13S,553,2d,hd,FALSE,1,381709,1620,1951,0,6826,TRUE
,,,15,VICE News,QeZnN_EjYyo,,2018-11-01 15:58:17,Trump’s Troop Surge On The Mexican Border Is Unprecedented (HBO),"President Trump announced late on Wednesday that his military surge along the border with Mexico could eventually see 15,000 troops deployed, three times the number previously been reported. If he follows through on that promise, iIt would be the largest domestic deployment of active duty military in modern American history, and eclipse the number of troops currently stationed in Iraq. And it raises major questions about how that many active soldiers and Marines could possibly be used. In simple terms, the scale and nature of Trump’s deployment along the southern border is unprecedented, but history offers a few hints at what might come next. Presidents have deployed the military along the border a number of times in the past, but they’ve almost always used the National Guard In 2010, Barack Obama sent 1,200 National Guardsmen to the border for 15 months, as part of a mission he called Operation Phalanx. It cost roughly $160 million. But the most comparable example can likely be found under George W. Bush, who in 2006, sent some 6,000 Guardsmen to the border for a two year period starting in 2006, a cost to taxpayers of $1.2 billion. Once down there, the troops largely worked behind the scenes. “They were not patrolling the border,” said Adam Isacson, the director of the defense oversight program at the nonprofit Washington Office on Latin America, “They were monitoring the sensors, they'd be doing oil changes for the Border Patrol vehicles and maintaining equipment. And just a lot more of them also were sitting under tents in lawn chairs with binoculars looking at the border looking for anyone suspected of the crossing.” Still, those jobs were not entirely inconsequential. Michael Fisher, who was Chief of the Border Patrol from 2010 to 2015, said that during his time in office, Guardsmen mostly focused on tasks that allowed Border Patrol agents to better do their own jobs, including surveillance and intelligence gathering missions. “That would free up Border Patrol agents who in the absence of the military would be doing those types of missions,” Fisher said. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: http://vicenews.com Follow VICE News here: Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Tumblr: http://vicenews.tumblr.com/ Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo",,News & Politics,,233,,,,,826633,6468,6589,,6681,TRUE
Border + Security + Mexico,1,UCupvZG-5ko_eiXAupbDfxWw,16,CNN,AZtCfBR8ZZQ,2018-12-11T17:35:10.000Z,2018-12-11 17:35:10,"Trump clashes with Pelosi, Schumer in Oval Office","President Donald Trump met with Democratic leaders Rep. Nancy Pelosi (D-CA) and Sen. Charles Schumer (D-NY) in the Oval Office where Trump vowed to shutdown the government if no agreement could be reached on border security, including funding a wall along the the US-Mexico border. #Trump #CNN #News",25,News & Politics,PT16M36S,996,2d,hd,FALSE,1,1506466,8564,1425,0,25752,TRUE
,2,UCZaT_X_mc0BI-djXOlfhqWQ,17,VICE News,JIWg9HENMx0,2018-11-13T21:07:56.000Z,2018-11-13 21:07:56,Trump’s Border Troops Have Nothing To Do (HBO),"The Rio Grande Valley in Texas is now home to roughly 1,000 active duty US army soldiers. They’re part of the more than 5,000 troops Donald Trump deployed to the US-Mexico border ahead of the midterm elections, at an estimated cost of $200 million. Most of the troop in the Rio Grande Valley are now living on Base Camp Donna, ten miles east of McAllen. In the last week, army engineers have built the camp up to accommodate a long-term deployment: it now has hot showers, laundry facilities, and a kitchen to produce two hot meals a day. Many of the soldiers there have served in Afghanistan and Iraq, and life on Base Camp Donna is much like life on any other base — except here, there’s no enemy to fight, and the troops have almost nothing to do. The migrant caravan they're supposed to be responding to is weeks away and headed to Tijuana, 1,500 miles to the West. The only concrete missions the troops have engaged in so far consist of “hardening” parts of the border with concertina wire. When that’s done, said Major Derek Wamsley, a public affairs officer at the base, “we move back here and wait for the next request from Customs and Border Protection.” Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: http://vicenews.com Follow VICE News here: Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Tumblr: http://vicenews.tumblr.com/ Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo",25,News & Politics,PT3M35S,215,2d,hd,FALSE,1,924467,10927,4267,0,7801,TRUE
,5,UCXIJgqnII2ZOINSWNOGFThA,18,Fox News,AJPj3Xw1DO0,2019-01-09T02:15:41.000Z,2019-01-09 2:15:41,Trump gives Oval Office address on border security,"Border wall funding is a central topic in President Trump's first Oval Office address. Trump will speak directly to the American people at the close of day 18 of the government shutdown. The president will follow his remarks with a trip to the U.S.-Mexico border on Thursday. Watch the Democratic rebuttal here: https://youtu.be/ns1bg-Pf_Kk FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 16 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre. Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more Fox News Video: http://video.foxnews.com Watch Fox News Channel Live: http://www.foxnewsgo.com/ Watch full episodes of your favorite shows The Five: http://video.foxnews.com/playlist/longform-the-five/ Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/ The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/ Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/ Hannity http://video.foxnews.com/playlist/longform-hannity/ The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/ Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/ Follow Fox News on Facebook: https://www.facebook.com/FoxNews/ Follow Fox News on Twitter: https://twitter.com/FoxNews/ Follow Fox News on Instagram: https://www.instagram.com/foxnews/ Subscribe to Fox News! https://www.youtube.com//FoxNewsChannel Watch more Fox News Video: http://video.foxnews.com Watch Fox News Channel Live: http://www.foxnewsgo.com/",25,News & Politics,PT10M10S,610,2d,hd,FALSE,1,522244,17333,1774,0,5403,TRUE
,20,UCupvZG-5ko_eiXAupbDfxWw,19,CNN,T5AIpuAeAps,2018-11-26T15:06:34.000Z,2018-11-26 15:06:34,Border patrol agent defends use of tear gas,"Chief Patrol Agent Rodney Scott says border patrol officers in riot gear were pelted with rocks by migrants trying to cross the border near Tijuana, Mexico. #CNN #News",25,News & Politics,PT8M20S,500,2d,hd,FALSE,1,178788,953,1616,0,4242,TRUE
,15,UCXIJgqnII2ZOINSWNOGFThA,20,Fox News,okJeeDaWEOk,2018-10-18T22:39:16.000Z,2018-10-18 22:39:16,Trump threatens border shutdown over migrant caravan,"A breakaway group of migrants from the migrant caravan bound for the U.S. has reportedly reached the border with Mexico, just hours after President Trump threatened to use the U.S. military to secure the border if the migrants aren't stopped; reaction and analysis on 'The Five.' FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 16 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre. Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more Fox News Video: http://video.foxnews.com Watch Fox News Channel Live: http://www.foxnewsgo.com/ Watch full episodes of your favorite shows The Five: http://video.foxnews.com/playlist/longform-the-five/ Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/ The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/ Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/ Hannity http://video.foxnews.com/playlist/longform-hannity/ The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/ Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/ Follow Fox News on Facebook: https://www.facebook.com/FoxNews/ Follow Fox News on Twitter: https://twitter.com/FoxNews/ Follow Fox News on Instagram: https://www.instagram.com/foxnews/",25,News & Politics,PT10M52S,652,2d,hd,TRUE,1,300400,4199,246,0,4119,TRUE
,8,UCj7wKsOBhRD9Jy4yahkMRMw,21,CGTN America,FoIshZG6cnQ,2018-11-27T01:19:39.000Z,2018-11-27 1:19:39,Migrants arrested on both sides of U.S.-Mexico border after desperate attempt to cross,"Mexico says it has deported some migrants who stormed the U.S. border Sunday, and the U.S. says it’s arrested those who made it across. The attempt to enter the U.S. prompted agents to fire tear gas across the border into Mexico, triggering more controversy over how the Trump Administration is handling the crisis. CGTN’s Phil Lavelle reports.",25,News & Politics,PT2M50S,170,2d,hd,FALSE,,411817,3700,218,0,3523,TRUE
