Keywords Searched,position,channelId,Scrape ID#,channelTitle,video Id,publishedAt,published at,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,Scraped?
,21,UCod8IyoN-ua9gDxlDpoEklQ,22,kytekuttertv,rfAOGO5GgQ0,2018-11-15T14:59:06.000Z,2018-11-15 14:59:06,First Wave Of Illegal Migrant Caravan Stopped By US Border Patrol (Full Compilation),The debate continues on illegal undocumented immigration in the US.,25,News & Politics,PT51M25S,3085,2d,hd,FALSE,,174849,2392,169,0,3175,TRUE
,16,UCIzXayRP7-P0ANpq-nD-h5g,23,The Sun,Kl_at6wV2_w,2018-10-22T13:59:59.000Z,2018-10-22 13:59:59,This man claims to have a cheaper solution to Trump's Wall,"Glenn Spencer has spent over a million dollars on secret underground sensors and drone technology to stop illegal activity at the US-Mexico border - and believes his system could replace the need for Donald Trump's 'wall' MEET America's 81-year-old border defender - who is waging a one-man war against drug trafficking and illegal immigration. Glenn Spencer has transformed his 104-acre ranch on the Arizona-Mexico border into a high tech fortress to stop any drug smugglers or illegal immigrants in their tracks. The retiree is determined to""keep America's borders safe"" and in doing so has developed a state-of-the-art security and monitoring system that can spot smugglers and human traffickers. His patented seismic sensor and drone technology has been presented to US Homeland Security, with a view to them using the system across American borders. He was spurred into action after a terrified neighbour told him she was moving home after witnessing rival Mexican drug cartel members shoot out in her ranch. Glenn, the president of the non-profit American Border Patrol, claims he has reduced illegal activity in the same area by more than 95 percent in 15 years. He told Sun Online: ""I came out here to solve the border problem and my hope is that this technology can be used to protect America's borders here on the southern border. ""Even as we speak there are drug traffickers, human traffickers, cartels are out there illegally entering this country. ""The Border Patrol can't keep up with the amount of illegal activity happening here. ""I guarantee that if you install this - we will stop drug smuggling cold within six months. ""I could tell the President: 'You install this technology on the border - I will show you high definition video of anybody who gets close within two minutes'. ""Within two minutes he can be sitting in the situation room in the White House and see people crossing over the border in California, Arizona - everywhere.” Sun Online was granted access to the cutting-edge ranch - where secret underground sensors can detect people and light aircraft within a 600-foot range and monitor their movements from the air. When anyone attempts to walk over the hidden sensors - and alarm is triggered in Glenn's control centre, deploying a drone which tracks suspects' every move. The system - based on technology he used during his time in the oil industry - could eradicate all illegal activity on the border within months, Glenn claims. He says the technology has helped apprehend hundreds of suspected illegal immigrants and traffickers. In one clip of dramatic footage collected by Glenn, around half a dozen people are caught crossing the border during the night, wearing backpacks, which he suspects are full of drugs. Glenn has even spent upwards of £150,000 to test his equipment in areas off his ranch - on a known drug-trafficking corridor - and caught a group of suspects on the first day. But his actions have not been popular with some… Continue reading: https://www.thesun.co.uk/news/7522086/meet-the-81-year-old-american-border-defender-who-is-waging-a-one-man-war-against-illegal-immigrants-and-drug-smugglers-on-the-mexican-border-with-cutting-edge-technology/ Sun Subscribers get the latest breaking news and videos directly to their feed. SUBSCRIBE NOW and hit the bell to be the first in the know. http://www.thesun.co.uk",25,News & Politics,PT2M36S,156,2d,hd,FALSE,1,278328,5790,782,0,3145,TRUE
,24,UCiDa1Pvau5HpDlGhb9hjuKA,24,DarkSkyWatcher74,mOnZdoB-aS0,2018-10-16T02:32:14.000Z,2018-10-16 2:32:14,Xman - Former Marine Says Muslims Are Coming Across The U.S Mexico Border And Its Not Good,I was there when it happened we all saw it and xman had walked up to border patrol to offer water for the captured group of immigrants so he got an even closer eye full see what he has to say. 212 Hours On The Border https://www.youtube.com/watch?v=JBjDBPnIank What can you find right on the border fence #DSW74NEWS https://www.youtube.com/watch?v=Aho2dncpZuo ©2018 DSW74NEWS NO USE OF ANY MATERIAL WITHOUT EXPRESS PERMISSION Find me on Facebook at https://www.facebook.com/dsw74newskingman/ Follow me on Twitter @DSW7420 Find Veterans on Patrol on Facebook at https://www.facebook.com/VOP-Charlie-Co-Team-Rodriguez-681667808835680/?ref=br_tf Follow VOP on twitter @vopreal DarkSkyWatcher74 Direct Support Link goes towards gas. I go through a tank every other day. https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=DXW9QM4CXF55S,25,News & Politics,PT3M21S,201,2d,hd,FALSE,1,148574,4999,467,0,3028,TRUE
,6,UCoMdktPbSTixAyNGwb-UYkQ,25,Sky News,mnjHxOxfrMk,2018-11-26T07:03:50.000Z,2018-11-26 7:03:50,Mexico to deport migrants who tried to breach US border,"Mexico says it will deport around 500 migrants who have tried to 'violently' and 'illegally' cross the U.S. border. Dozens of Mexican police with plastic riot shields stopped the migrants well ahead of the crossing, as US agents fired tear gas. Our chief correspondent Stuart Ramsay and his team have been on the front line of the migrants' struggle to make it across. Here's his latest report from the city of Tijuana. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews and https://twitter.com/skynewsbreak Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB",25,News & Politics,PT3M26S,206,2d,hd,FALSE,1,494922,5514,341,0,2921,TRUE
,35,UCBi2mrWuNuyYy4gbM6fU18Q,26,ABC News,RlePAEkJsVc,2018-11-23T02:52:26.000Z,2018-11-23 2:52:26,Trump threatens Mexico: 'We will close' the whole US border,"The president also threatened to shut down the government if he did not get money for border security, including the wall. WATCH THE FULL EPISODE OF 'WORLD NEWS TONIGHT': https://bit.ly/2DKVj8J WATCH OTHER FULL EPISODES OF WORLD NEWS TONIGHT: http://abc.go.com/shows/world-news-tonight",25,News & Politics,PT3M13S,193,2d,hd,FALSE,1,94594,964,248,0,2474,TRUE
,4,UCZaT_X_mc0BI-djXOlfhqWQ,27,VICE News,uc6JfgKVIUI,2018-06-07T20:06:34.000Z,2018-06-07 20:06:34,Mexico Has Its Own Southern Border Crackdown—But It Isn't Working (HBO),"Ever since a caravan of Central American migrants started heading north from Southern Mexico in early April, Presiden​t Trump has used the occasion to accuse the Mexican government​ of doing nothing to prevent migrants from reaching the United States. But that isn’t true. In the summer of 2014, when record numbers of Central American children and families were apprehended at the U.S.-Mexico border, the Obama administration pressured Mexico to stop the migrant flow closer to the source: At its own southern border with Guatemala. Mexico readily complied, deploying unprecedented numbers of immigration agents, police, and military to shut down migrant routes, primarily in the southernmost state of Chiapas. By some measures, the so-called Southern Border Program was successful: In its first two years, immigration arrests in Mexico shot up by 85 percent, according to an analysis by the Washington Office on Latin America. But four years later, it’s clear that the Southern Border Program has created more problems than it’s solved. The migrant crisis is far from over, and will continue as long as intense violence, poverty, and political instability push Central Americans to flee their home countries. Instead, the crackdown has pushed migrants onto more remote and dangerous routes, where they’re vulnerable to predatory criminals who rob them — or much worse. ​Those migrants who are apprehended often wind up stuck for months in southern Mexico while they await for their cases to be processed. Many apply for asylum in Mexico, but even they, in many cases, want papers only so they can continue their journeys north undisturbed. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: http://vicenews.com Follow VICE News here: Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Tumblr: http://vicenews.tumblr.com/ Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo",25,News & Politics,PT6M29S,389,2d,hd,FALSE,1,656102,5437,1002,0,2410,TRUE
,,,28,CNN,XVOA090X3OU,,2018-08-05T11:52:43.000Z,Here's what troops on US-Mexico border are actually doing,CNN's Martin Savidge visited the US-Mexico border to learn what hundreds of National Guard troops deployed there are permitted to do.,,News & Politics,,227,,,,,225536,1806,736,,2409,TRUE
,,,29,Fox Business,VRmraLbULUM,,2018-10-22T17:07:49.000Z,"This is not a caravan coming into US, it is an invasion: Art Del Cueto",Border Patrol Council Vice President Art Del Cueto on the migrant caravan headed toward the U.S. border with Mexico and efforts to boost U.S. border security.,,News & Politics,,280,,,,,144699,2930,138,,2296,TRUE
,,,30,John Donne Show,Umw0d9Wu7Ug,,2018-09-03T15:50:42.000Z,"Security Wall Build Santa Teresa, New Mexico & Calexico california","Unity is our strength Subscribe to my channel you’ll get reports every day with the latest Videos by subscribing. See you Soon! https://www.youtube.com/channel/UCIdKjWk5gp0N0Mu_4aljp1g ------------------------------------------------------------------------------ #Calexico #NewMexico #WalkAwayMarch Border fence construction underway in New Mexico California Spends $25 Billion in Tax Dollars per Year on Illegals, Ignores Dams http://www.independentsentinel.com/california-spends-25-billion-tax-dollars-per-year-illegals-ignores-dams/ ------------------------------------ LA made $1.3B in illegal immigrant welfare payouts in just 2 years ------------------------------------ Record $135 billion a year for illegal immigration, average $8,075 each, $25,000 in NY ------------------------------------ To strengthen the nation's border wall, a new 30-foot fence is under construction in Santa Teresa, New Mexico. Border Wall Construction Begins In Santa Teresa, New Mexico Construction of a new $73.3 million border wall along the U.S.-Mexico border in Santa Teresa, N.M., began Monday after an official groundbreaking of what officials called the “president’s border wall.” ------------------------------------ Border wall work begins in downtown Calexico In November, SWF Constructors of Omaha, Neb., won a contract for $18 million to replace the wall in Calexico, about 120 miles east of San Diego. It encompasses an area bisected by the New River, where smugglers are known to guide people through polluted waters. The project, which includes a bridge over the river, is expected to take 300 days. More South Texas land owners getting letters on border wall Rio Grande City School District board president Daniel Garcia said the district got a letter in May about district property that’s being considered for “tactical infrastructure, such as a border wall.” The school board last month approved a request from U.S. Customs and Border Protection to come onto district property for survey and site assessment. The land is not currently being used by the district. Garcia said had he known it was meant for the border wall, he would have voted against the request. --------------------------------------------------------------------------------------------------- Do you suffer from Trump Derangement Syndrome? Go Hear for Help. Psychology How to Calm Trump Derangement Syndrome 😷 https://www.youtube.com/watch?v=NVuGAWzzrf0&t=299s Report: McCabe Seeks Immunity for Hillary Senate Testimony Report: Andrew McCabe Seeks Immunity Deal for Testimony – Andrew McCabe wants immunity for testimony on Hillary Clinton email CNN: McCabe Wants Immunity for FBI Clinton Probe Testimony McCabe Seeks Immunity From Prosecution in Exchange For Testimony in Congressional Hearing Miss America 2.0 - Miss America Miss America 2.0: Swimsuits, #MeToo, and the Beauty Miss America cuts swimsuit competition, no longer bases contestants beauty Miss America to end swimsuit competition. Here's why Miss America's Swimsuit Portion Will Be No Longer & It's A Huge Deal Cara Mund on Twitter: ""We're changing out of our swimsuits Miss America is ending its swimsuit competition Miss America Organization Drops Swimsuit Competition Miss America Eliminates Swimsuit Competition From Pageant Miss America: Reactions to No More Swimsuit Competition Miss America Swimsuit Competition Is No More Miss America 2019 Ends Swimsuit and Evening Gown Portions Miss America Organization DROPS Swimsuit Competition Billionaire George Soros has ties to more than 50 'partners' The Soros-funded Attacks on Orthodox-Catholic Universities George Soros gave $246 million to partners of Women's March How Happy Should Joe Biden Be About His Lead In 2020 Democratic Trump Can Win in 2020. But History Says It Won't Be Easy Poll: 52% of Republicans would support postponing 2020 election Oprah Beats Trump in CNN Poll - But Biden and Bernie Do Even Better CNN releases poll indicating Trump won't win in 2020 CNN poll: Democrats' 2018 advantage is nearly gone California in the spotlight as 8 states head to the polls: What to watch Unpacking the real story behind Republicans' chances at holding the Senate in 2018 8 states vote in key primary elections CNN Poll: 42% Approve of Trump, Highest Since 100 Day Melania Trump's popularity jumps in new CNN poll CNN Poll: Trump approval steady amid rising outlook for the country CNNPolitics - Political News, Analysis, and Opinion The new CNN poll has some actual good news for Republicans CNN Poll: Trump approval slides, matches the lowest point of the presidency",,People & Blogs,,612,,,,,356576,5414,415,,2190,TRUE
,,,,,,,,,,,,,,,,,,,,,,330298,
