id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy9G4bK4m1HR6_vB5F4AaABAg	0	0	2018-11-25 22:38:31	superzxsuperzx	This people from central America are some fuckend stubborn fuckend people my god, the mexican people of tijuana had a protest of thousands telling them to go back to there central american countrys that they where not welcone in tijuana and the united states. They where specifically told they are not staying in nexico and that the united states are not gonna let them in and they are still fuckend there trying to get in, next up the mexican military is coming and thats when its gonna get real ugly couse they are some serious motherfuckend people in that military there that have been doing the most vicious fighthing against cartels they are used to dealing with narco traffickers brutality and this central americans are gonna find out first hand what being extremly violated really means they are gonna scream for the united states to come saved them after the mexican military deals with them	UC5vHrjGRXpM-USwVwIO13lg	http://www.youtube.com/channel/UC5vHrjGRXpM-USwVwIO13lg	0		
UgwvGPABoUZ78EFJIyF4AaABAg	0	0	2018-11-25 22:38:29	Jay-Z flashing money	🗣Let them honest people in. This great land is for everybody	UCjaJV6Qhx3BNOVrqEcDx6qQ	http://www.youtube.com/channel/UCjaJV6Qhx3BNOVrqEcDx6qQ	0		
Ugyvd1DYGiohYwx08k94AaABAg	0	0	2018-11-25 22:38:23	Delainey Johnson	I&#39;m beginning to think these guys are hired by Republicans to fake prove their narrative.	UCJtNpKzeIlk--Viq29ODACw	http://www.youtube.com/channel/UCJtNpKzeIlk--Viq29ODACw	0		
UgxZzlgE4KnygB9f7-d4AaABAg	0	0	2018-11-25 22:38:16	T NC	Everyone needs to stand up and help Trump to protecting American soil not fighting and build the walls	UCA-3boDwqXJzUekSfFKgqaQ	http://www.youtube.com/channel/UCA-3boDwqXJzUekSfFKgqaQ	0		
Ugy_2NeO27eYxY7q-CN4AaABAg	1	0	2018-11-25 22:37:40	Shut the Hell up	In the history of America, each group except the natives and blacks have been called invaders.	UCKVS9T9QIkhg9qtmtYV70mA	http://www.youtube.com/channel/UCKVS9T9QIkhg9qtmtYV70mA	0		
Ugy_2NeO27eYxY7q-CN4AaABAg.8o5CmeRLB_R8o5DqHmVq2b		0	2018-11-25 22:46:54	Thomas Of Torquemada MCDXX	*AMERICA 1507*	UCT6sfknh7tKdV8H4yntN_ag	http://www.youtube.com/channel/UCT6sfknh7tKdV8H4yntN_ag	1	Ugy_2NeO27eYxY7q-CN4AaABAg	Shut the Hell up
UgxReF_KhHQNT6SCDCN4AaABAg	0	2	2018-11-25 22:37:34	Chadillac	But I thought MSM wanted us to believe the caravan wasn&#39;t real? I&#39;m confused.	UCwwRhGAN5UIdPSC9SdT-Ztw	http://www.youtube.com/channel/UCwwRhGAN5UIdPSC9SdT-Ztw	0		
Ugx2K_wP938l7oM6PfN4AaABAg	0	0	2018-11-25 22:37:30	No One	How come none of you noticed when Obama brought in more than 100,000 supposed refugees from the Middle East ? That was a few years back. One of them runs a local gas station.<br />Convenient. 😒	UCnad1WuqZxqiQGxHFUc505g	http://www.youtube.com/channel/UCnad1WuqZxqiQGxHFUc505g	0		
UgwuI5G6Zt9VvhCQysh4AaABAg	0	0	2018-11-25 22:37:27	MrNeverseen7	Why didn&#39;t this happen when white people came? <br />Please send white people Back.<br />-Comanche Nation	UC92ERhlmArI6cmen6O2H2qA	http://www.youtube.com/channel/UC92ERhlmArI6cmen6O2H2qA	0		
Ugwor7idptbKc0axZZh4AaABAg	0	0	2018-11-25 22:36:41	Mark Chase	There is a device used in front of us embassies that is like A-bomb that projects thousands of little rubber balls I think we need like 4 thousand of those.	UCxQrXKdshki7gREsftvQatw	http://www.youtube.com/channel/UCxQrXKdshki7gREsftvQatw	0		
UgyJ1RDGDue7Moh0pct4AaABAg	0	0	2018-11-25 22:36:35	Sarah Rodriguez	Thank you Mr. President , you gave many people migrating back and forth the opportunity to become Americans and stay and live in the U.S. and give back to society by paying taxes. Thank you for protecting Americans.	UCep_pDoUCVuQ6O-LFBD8AOQ	http://www.youtube.com/channel/UCep_pDoUCVuQ6O-LFBD8AOQ	0		
UgxGSrrGfBITWRUzQd14AaABAg	0	0	2018-11-25 22:36:09	ayeisha ramos	so not 1 person got in?	UCx2JIDCXbiQE0Q56dOg-8rQ	http://www.youtube.com/channel/UCx2JIDCXbiQE0Q56dOg-8rQ	0		
UgwkAVObtJ7oV_tf8B54AaABAg	0	0	2018-11-25 22:35:48	JuanLGonzalez	50k to feed them and revenue loss and expenses,,, 200 million a day on both sides.	UCKHie0Ys_P9XDMAu4qu7Kcg	http://www.youtube.com/channel/UCKHie0Ys_P9XDMAu4qu7Kcg	0		
UgwEojRY5aTrw_3serd4AaABAg	0	8	2018-11-25 22:35:45	Steve Parker	Shut it down and keep it shut, stop supplying them with food they&#39;ll soon leave.	UCkYn7oiwYTTaZ84B3dQC7Tg	http://www.youtube.com/channel/UCkYn7oiwYTTaZ84B3dQC7Tg	0		
Ugw48-ar3Q1aNrMyCdt4AaABAg	0	0	2018-11-25 22:35:36	Hung Trinh	Wonder the CNN NBC and others fake news networks &#39; OBAMA with the Democrats were saying no cravan invasion what are they saying now ?they are so betrayed the Americans and the president was right they are people enemies	UC2f57OO8I5SoxN1xDq8tUQg	http://www.youtube.com/channel/UC2f57OO8I5SoxN1xDq8tUQg	0		
